,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
1410,102298,University of Wisconsin-Eau Claire,faculty advancements,lt_improve_staff_faculty_support_gr,https://connect.uwec.edu/english,timeout,No_meta_date,2020-10-20 23:21:09.193080,0,NoContext
1411,102298,University of Wisconsin-Eau Claire,faculty advancements,lt_improve_staff_faculty_support_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=programs.viewprogram&program_id=10159,timeout,No_meta_date,2020-10-20 23:21:09.193054,0,NoContext
1179,102298,University of Wisconsin-Eau Claire,online programs,st_expand_unconventional_programs_gr,https://ecampus.wisconsin.edu/online-degree-programs/online-bachelors-degree-programs/,timeout,No_meta_date,2020-10-20 23:21:09.192994,0,NoContext
1204,102298,University of Wisconsin-Eau Claire,counselling services’ student wellness,lt_improve_student_experience_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=06007172764f017b7071750003011c737d0d7714067f08716e020301710274707305747c067574700c,timeout,No_meta_date,2020-10-20 23:21:09.193001,0,NoContext
128,102553,Arizona State University-Tempe,campus climate,lt_improve_student_experience_gr,https://sustainability.asu.edu/events/rsvp/wrigely-speaker-christiana-figueres,timeout,['2015-04-24T23:45:31+00:00'],2020-10-20 23:21:09.192105,0,NoContext
130,102553,Arizona State University-Tempe,campus climate,lt_improve_student_experience_gr,https://isearch.asu.edu/profile/1118855,timeout,['2018-02-06T09:35:00-07:00'],2020-10-20 23:21:09.192101,0,NoContext
144,102553,Arizona State University-Tempe,expand to minorities,st_expand_unconventional_programs_gr,https://www.sciencemag.org/news/2020/05/acclaimed-mentor-minority-mathematicians-relied-tough-love-some-say-he-went-too-far,timeout,No_meta_date,2020-10-20 23:21:09.192122,0,NoContext
210,102553,Arizona State University-Tempe,faculty advancements,lt_improve_staff_faculty_support_gr,https://semte.engineering.asu.edu/faculty/,timeout,No_meta_date,2020-10-20 23:21:09.192193,0,NoContext
124,102553,Arizona State University-Tempe,expand to adults,st_expand_unconventional_programs_gr,https://biodesign.asu.edu/news/piper-trust-expands-sustainable-health-initiative,timeout,No_meta_date,2020-10-20 23:21:09.192092,0,NoContext
90,102553,Arizona State University-Tempe,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://cidse.engineering.asu.edu/advising/,timeout,No_meta_date,2020-10-20 23:21:09.192047,0,NoContext
