,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
90,102553,Arizona State University-Tempe,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://cidse.engineering.asu.edu/advising/,timeout,No_meta_date,2020-10-20 23:11:55.691731,0,NoContext
93,102553,Arizona State University-Tempe,reduce unnecessary spending,st_reduce_operational_spending,https://sustainability.asu.edu/news/archive/growth-in-plastic-waste-could-exceed-mitigation-efforts,timeout,No_meta_date,2020-10-20 23:11:55.691743,0,NoContext
80,102553,Arizona State University-Tempe,suspend capital projects,st_deferred_infrastructure_improvement,https://isearch.asu.edu/profile/1450867,timeout,['2014-11-04T13:52:02-07:00'],2020-10-20 23:11:55.691726,0,NoContext
416,102614,Christopher Newport University,administrative budget cuts,lt_reduction_or_elimination_of_administrative_departments,http://www.baltimoresun.com/dp-nws-cnu-trible-announcement-20161202-story.html,timeout,No_meta_date,2020-10-20 23:11:55.692143,0,NoContext
459,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://hrfoodbank.org/christoper-newport-university-and-smithfield-giving-back/,timeout,No_meta_date,2020-10-20 23:11:55.692196,0,NoContext
460,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://williamsburghouseofmercy.org/tag/christopher-newport-university/,timeout,No_meta_date,2020-10-20 23:11:55.692198,0,NoContext
434,102614,Christopher Newport University,close buildings,lt_liquidate_fixed_assets,https://www.baltimoresun.com/dp-nws-nn-cnu-dorms-20170320-story.html,timeout,['2020-08-06T14:05:46-0400'],2020-10-20 23:11:55.692157,0,NoContext
343,102614,Christopher Newport University,program cuts,lt_reduction_or_elimination_of_academic_departments_programs,https://www.chicagotribune.com/dp-nws-cnu-budget-cuts-20161114-story.html,timeout,['2020-09-02T14:33:54-0400'],2020-10-20 23:11:55.692061,0,NoContext
798,102632,Taylor University,expand to adults,st_expand_unconventional_programs_gr,https://umo.edu/umo-introduces-new-expanding-academic-programs/,timeout,['2019-03-06T19:14:03+00:00'],2020-10-20 23:11:55.692468,0,NoContext
813,102632,Taylor University,offer amenities,lt_improve_student_experience_gr,https://www.showmegrantcounty.com/tag/lodging-near-taylor-university/,timeout,No_meta_date,2020-10-20 23:11:55.692477,0,NoContext
846,102632,Taylor University,food pantry,lt_improve_student_experience_gr,https://www.campbellsville.edu/news/campbellsville-universitys-physical-plant-collects-food-items-for-taylor-county-food-pantry/,timeout,No_meta_date,2020-10-20 23:11:55.692498,0,NoContext
791,102632,Taylor University,expand to veterans,st_expand_unconventional_programs_gr,https://academic.oup.com/milmed/article-abstract/182/9-10/e1900/4627031,timeout,No_meta_date,2020-10-20 23:11:55.692466,0,NoContext
720,102632,Taylor University,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://wvumedicine.org/physicians/primary-care/harpers-ferry-family-medicine/,timeout,['2016-11-23T15:59:45Z'],2020-10-20 23:11:55.692370,0,NoContext
745,102632,Taylor University,cut sports,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/womens-tennis,timeout,No_meta_date,2020-10-20 23:11:55.692401,0,NoContext
756,102632,Taylor University,athletics spending cuts,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/volleyball,timeout,No_meta_date,2020-10-20 23:11:55.692413,0,NoContext
757,102632,Taylor University,athletics spending cuts,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/football,timeout,No_meta_date,2020-10-20 23:11:55.692415,0,NoContext
