,unit_ID,school,term,url,count,context
415,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,"ion data  career advice  dual search  job alerts  college pages  news             found 9 tenured & tenure-track, swainsboro jobs       browse  search  refine results  email        keyword search   ke"
414,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1," compensation data  career advice  dual search  job alerts  college pages  news             found 9 tenured & tenure-track, swainsboro jobs       browse  search  refine results  email        keyword s"
413,102298,East Georgia State College,staff support programs,http://gcdd.org/our-mission/our-supported-programs/105-general-content/3056-inclusive-post-secondary-education-ipse.html,0,NoContext
412,102298,East Georgia State College,suspend retirement contributions,https://hr.gsu.edu/service-centers/benefits/active-employees/,0,NoContext
411,102298,East Georgia State College,lower tuition,http://www.ega.edu/pages/general-pages/bomb_threat,0,NoContext
417,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,"h  refine results  email        keyword search   keywords           broaden your search   tenured & tenure-track  1156  tenured & tenure-track, georgia  76   refine your search   faculty jobs     arts"
409,102298,East Georgia State College,pay cuts,https://patch.com/georgia/across-ga/georgia-colleges-universities-project-cutting-1900-jobs,0,NoContext
401,102298,East Georgia State College,layoff faculty,https://www.ajc.com/news/local/list-the-impact-college-cuts/9hqqirgxmnbrmid8xyvfgj/,0,NoContext
407,102298,East Georgia State College,pay cuts,https://www.ega.edu/pages/general-pages/sga_constitution,0,NoContext
406,102298,East Georgia State College,reduce tuition,http://www.ega.edu/pages/general-pages/monthly_payment_plan,0,NoContext
405,102298,East Georgia State College,faculty cuts,https://gbpi.org/georgias-education-cuts-a-growing-burden-for-low-income-students/,0,NoContext
404,102298,East Georgia State College,faculty cuts,https://www.wrdw.com/content/news/georgia-regents-approve-furloughs-staff-cuts--570274401.html,0,NoContext
403,102298,East Georgia State College,faculty cuts,http://www.ega.edu/augusta,0,NoContext
402,102298,East Georgia State College,layoff faculty,https://myegsc.ega.edu/,0,NoContext
400,102298,East Georgia State College,layoff faculty,http://www.ega.edu/,0,NoContext
418,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,"mail        keyword search   keywords           broaden your search   tenured & tenure-track  1156  tenured & tenure-track, georgia  76   refine your search   faculty jobs     arts & humanities  1    "
408,102298,East Georgia State College,pay cuts,http://www.ega.edu/library/,0,NoContext
419,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,"  keyword search   keywords           broaden your search   tenured & tenure-track  1156  tenured & tenure-track, georgia  76   refine your search   faculty jobs     arts & humanities  1    engineerin"
433,102298,East Georgia State College,new scholarships,https://www.ncsasports.org/athletic-scholarships/baseball/georgia/east-georgia-college,0,NoContext
421,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,logy  6    social sciences  1       employer type     employer  9       position type     tenured & tenure-track  remove selection         institution type     four-year institution  9       location 
420,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,e & technology  6    social sciences  1       employer type     employer  9       position type     tenured & tenure-track  remove selection         institution type     four-year institution  9      
439,102298,East Georgia State College,expand financial aid,http://www.ega.edu/articles,0,NoContext
438,102298,East Georgia State College,increase student financial aid,http://www.ega.edu/finaid/veteransadmin.htm,0,NoContext
