,index,unit_ID,school,term,url,metadata_date
80,80,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://news.psu.edu/story/623877/2020/06/22/administration/university-leaders-answer-employee-questions-ahead-return,No meta date
81,81,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://www.psu.edu/faculty-and-staff,No meta date
82,82,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://www.post-gazette.com/news/education/2019/10/28/penn-state-fayette-eberly-nursing-health-care-bsn-higher-education-pitt-duquesne/stories/201910240133,No meta date
83,83,102614,Pennsylvania State University-Penn State Fayette- Eberly,pay cuts,https://fayette.psu.edu/news?page=17&sort=oldest&type=all,No meta date
84,84,102614,Pennsylvania State University-Penn State Fayette- Eberly,pay cuts,https://fayette.psu.edu/news?page=86&type=all&sort=newest,No meta date
85,85,102614,Pennsylvania State University-Penn State Fayette- Eberly,pay cuts,https://news.psu.edu/story/442752/2016/12/16/finding-ways-save-energy-fayette-campus,No meta date
86,86,102614,Pennsylvania State University-Penn State Fayette- Eberly,pay cuts,https://invent.psu.edu/stories/fayette-launchbox-and-mont-alto-launchbox-celebrate-ribbon-cuttings/,No meta date
87,87,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty cuts,https://www.heraldstandard.com/news/local_news/budget-cuts-anger-campus-students/article_267a0d36-361b-5967-a0f8-a77a1cb2fa71.html,No meta date
88,88,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty cuts,https://www.newsbreak.com/pennsylvania/penn/news/0oldzm5g/600-job-cuts-announced-at-penn-highlands,No meta date
89,89,102614,Pennsylvania State University-Penn State Fayette- Eberly,reduce benefits,https://hr.psu.edu/careers,No meta date
90,90,102614,Pennsylvania State University-Penn State Fayette- Eberly,reduce tuition,https://fayette.psu.edu/passs,No meta date
91,91,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty laid off,https://news.psu.edu/story/435731/2016/11/04/fayette-campus%e2%80%99-ccps-leads-law-enforcement-training,No meta date
92,92,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty laid off,https://www.sedtapp.psu.edu/news-archive/sp17/3d-printing-fayette-campus.aspx,No meta date
93,93,102614,Pennsylvania State University-Penn State Fayette- Eberly,lower tuition,https://fayette.psu.edu/parents-families/answers-parents,No meta date
94,94,102614,Pennsylvania State University-Penn State Fayette- Eberly,lower tuition,https://www.prepscholar.com/sat/s/colleges/penn-state-fayette--the-eberly-campus-tuition-financial-aid,No meta date
95,95,102614,Pennsylvania State University-Penn State Fayette- Eberly,suspend retirement contributions,https://www.newsbreak.com/pennsylvania/farmington/daily-news/2019/03/01,No meta date
96,96,102614,Pennsylvania State University-Penn State Fayette- Eberly,suspend retirement contributions,https://news.psu.edu/story/528760/2018/07/20/administration/board-trustees-approves-tuition-freeze-all-pennsylvania,No meta date
97,97,102614,Pennsylvania State University-Penn State Fayette- Eberly,cut faculty,https://fayette.psu.edu/news?sort=newest&type=image&page=51,No meta date
98,98,102614,Pennsylvania State University-Penn State Fayette- Eberly,freeze tuition,https://fayette.psu.edu/news?page=2,No meta date
99,99,102614,Pennsylvania State University-Penn State Fayette- Eberly,freeze tuition,https://news.psu.edu/headlines/students-must-enroll-two-factor-authentication-may-12-deadline/617735/2020-04-29,No meta date
100,100,102614,Pennsylvania State University-Penn State Fayette- Eberly,freeze tuition,https://news.psu.edu/story/581165/2019/07/18/administration/board-approves-second-consecutive-tuition-freeze-pennsylvania,No meta date
101,101,102553,University of Denver,reduce benefits,https://www.du.edu/human-resources/benefits/index.html,No meta date
102,102,102553,University of Denver,reduce benefits,https://giftplanning.du.edu/ira-charitable-rollover,No meta date
103,103,102553,University of Denver,reduce benefits,https://giftplanning.du.edu/charitable-gift-annuities,['2020-06-09T06:00:00-0600']
104,104,102553,University of Denver,reduce benefits,https://socialwork.du.edu/effectiveinterventions,No meta date
105,105,102553,University of Denver,reduce benefits,http://giftplanning.du.edu/giftplanning-du/pioneer-legacy-society?fullview=true,No meta date
106,106,102553,University of Denver,new scholarships,https://korbel.du.edu/admission-aid/financial-aid/scholarships,No meta date
107,107,102553,University of Denver,new scholarships,https://www.du.edu/admission-aid/financial-aid-scholarships/graduate-financial-aid/types-aid/grants-scholarships,No meta date
108,108,102553,University of Denver,new scholarships,https://morgridge.du.edu/financial-aid/grants-scholarships/,No meta date
109,109,102553,University of Denver,new scholarships,https://www.du.edu/elc/apply/scholarships,No meta date
110,110,102553,University of Denver,faculty cuts,https://letsgodu.com/2020/06/09/du-reveals-45-million-covid-19-shortfall-begins-wielding-budget-axe/,['2020-06-09T23:42:22+00:00']
111,111,102553,University of Denver,faculty cuts,https://www.du.edu/coronavirus,No meta date
112,112,102553,University of Denver,faculty cuts,https://denver.cbslocal.com/2020/06/10/university-denver-layoffs-salary-reductions/,['2020-06-10T08:56:24+00:00']
113,113,102553,University of Denver,faculty cuts,https://www.msudenver.edu/coronavirus-update/fy-2020-21-budget-update-050620/,No meta date
114,114,102553,University of Denver,faculty cuts,https://alumni.du.edu/news/alums-salon-cuts-hair-grows-confidence-young-girls,['2019-04-01T06:00:00-0600']
115,115,102553,University of Denver,faculty cuts,https://www.dailycamera.com/guest-opinion-jennifer-s-hendricks-cu-boulder-pay-cuts-are-unjust-and-regressive,No meta date
116,116,102553,University of Denver,faculty cuts,https://robertjprince.net/2020/07/22/open-letter-on-contingent-faculty-at-university-of-denver-part-time-and-non-tenured-faculty-are-organizing/,['2020-06-24T22:00:45+00:00']
117,117,102553,University of Denver,faculty laid off,https://www.du.edu/,No meta date
118,118,102553,University of Denver,faculty laid off,https://daniels.du.edu/marketing/masters/,No meta date
119,119,102553,University of Denver,faculty laid off,https://career.du.edu/blog/post_tag/jos/page/4/,No meta date
120,120,102553,University of Denver,faculty laid off,https://www.chronicle.com/article/surpluses-replace-deficits-at-university-of-denver/,No meta date
121,121,102553,University of Denver,offer scholarship,https://liberalarts.du.edu/anthropology/admission-financial-aid/aid-scholarships,No meta date
122,122,102553,University of Denver,increase benefits,https://library.du.edu/inclusive-excellence.html,No meta date
123,123,102553,University of Denver,increase benefits,https://science.du.edu/research/showcase/increase-student-engagement,No meta date
124,124,102553,University of Denver,increase benefits,https://www.msudenver.edu/early-bird/2018/07/31-tuition-benefit.shtml,No meta date
125,125,102553,University of Denver,layoff faculty,https://www.law.du.edu/,No meta date
126,126,102553,University of Denver,layoff faculty,https://www.thelayoff.com/university-denver,No meta date
127,127,102553,University of Denver,layoff faculty,https://www.newsbreak.com/colorado/denver/news/0piaqpfv/university-of-denver-announces-38-layoffs-salary-reductions-for-faculty-and-staff,No meta date
128,128,102553,University of Denver,layoff faculty,https://jobs.du.edu/,No meta date
129,129,102553,University of Denver,reduce faculty,https://socialwork.du.edu/,No meta date
130,130,102553,University of Denver,reduce faculty,https://jobs.du.edu/cw/en-us/job/493242/manager-of-strategic-sourcing,['2020-06-09T22:54:07+00:00']
131,131,102553,University of Denver,reduce faculty,https://magazine-archive.du.edu/campus-community/du-reduces-carbon-footprint-27-percent/,No meta date
132,132,102553,University of Denver,reduce faculty,https://portfolio.du.edu/dsaitta/page/24214,No meta date
133,133,102614,Pennsylvania State University-Penn State Fayette- Eberly,increase benefits,https://strategicplan.psu.edu/files/2018/01/pennstatefayettetheeberlycampus-sp-1wco8xz.docx,No meta date
134,134,102614,Pennsylvania State University-Penn State Fayette- Eberly,tenure,https://fayette.psu.edu/story/719/2016/09/12/once-student-fayette-campus-now-teacher,No meta date
135,135,102632,Quinnipiac University,layoff faculty,http://www.newhavenindependent.org/index.php/archives/entry/amid_layoffs_quinnipiac_keeps_building/,['2020-07-06T19:15:01-0400']
136,136,102632,Quinnipiac University,layoff faculty,https://www.fox61.com/article/news/health/coronavirus/quinnipiac-university-furloughs-layoffs-staff-as-it-faces-55-million-budget-shortfall-due-to-covid-19/520-f0fb003f-72dc-4eb0-b7af-57878920fcd6,['6/18/2020 7:31:17 PM']
137,137,102632,Quinnipiac University,layoff faculty,https://www.nhregister.com/connecticut/article/quinnipiac-university-to-lay-off-15-professors-11371651.php,No meta date
138,138,102632,Quinnipiac University,layoff faculty,https://www.wnpr.org/post/quinnipiac-university-furlough-or-lay-more-100-employees,['2014-05-09T22:29:31Z']
139,139,102632,Quinnipiac University,layoff faculty,https://www.insidehighered.com/news/2014/05/14/quinnipiac-faculty-reeling-rapid-cuts,No meta date
140,140,102632,Quinnipiac University,layoff faculty,https://www.wnpr.org/post/concern-over-faculty-layoffs-quinnipiac-university,No meta date
141,141,102632,Quinnipiac University,layoff faculty,https://www.thelayoff.com/quinnipiac,No meta date
142,142,102632,Quinnipiac University,layoff faculty,https://dailyvoice.com/connecticut/fairfield/schools/covid-19-quinnipiac-university-cuts-faculty-staff-salaries/785482/,No meta date
143,143,102632,Quinnipiac University,layoff faculty,https://quchronicle.com/70550/news/faculty-members-speak-up-in-support-of-their-laid-off-colleagues/,['2020-03-24T07:16:04.347872-04:00']
144,144,102553,University of Denver,pay cuts,https://library.du.edu/,No meta date
145,145,102553,University of Denver,pay cuts,https://connections.cu.edu/stories/leadership-takes-pay-cuts-budget-questions-remain,No meta date
146,146,102553,University of Denver,pay cuts,https://www.msudenver.edu/coronavirus-update/covid19-budget-update-042420/,['2020-04-23T04:59:00-06:00']
147,147,102614,Pennsylvania State University-Penn State Fayette- Eberly,salary increase,https://www.salary.com/research/cost-of-living/lemont-furnace-pa,No meta date
148,148,102632,Quinnipiac University,reduce faculty,http://www.newhavenindependent.org/index.php/archives/entry/quinnipiac_cuts_salaries/,['2020-03-24T02:00:13-0400']
149,149,102632,Quinnipiac University,reduce faculty,https://quchronicle.com/69949/news/quinnipiac-finances-hit-hard-by-covid-19/,No meta date
150,150,102632,Quinnipiac University,reduce faculty,https://www.qu.edu/schools/nursing/faculty.html,No meta date
151,151,102632,Quinnipiac University,reduce faculty,https://careers.qu.edu/benefits/full-time-faculty-administrators.html,No meta date
152,152,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty advancements,https://fayette.psu.edu/launchbox,No meta date
153,153,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty advancements,https://www.csats.psu.edu/publications,No meta date
154,154,102614,Pennsylvania State University-Penn State Fayette- Eberly,faculty advancements,https://news.psu.edu/story/466276/2017/05/03/academics/learning-fair-fayette-campus-highlights-curiosity,No meta date
155,155,102614,Pennsylvania State University-Penn State Fayette- Eberly,promotions,https://news.psu.edu/story/148080/2012/07/06/promotions-academic-rank-effective-july-1-2012,No meta date
156,156,102553,University of Denver,salary reductions,https://www.newsbreak.com/colorado/denver/news/0pixtur8/university-of-denver-announces-layoffs-and-salary-reductions,No meta date
157,157,102553,University of Denver,salary reductions,https://www.msn.com/en-us/money/news/university-of-denver-announces-layoffs-and-salary-reductions/ar-bb15iw9v,No meta date
158,158,102632,Quinnipiac University,faculty laid off,https://q30tv.com/news/faculty-members-demand-answers/,No meta date
159,159,102632,Quinnipiac University,faculty laid off,https://quchronicle.com/70508/news/quinnipiac-announces-budget-adjustments/,No meta date
160,160,102614,Pennsylvania State University-Penn State Fayette- Eberly,offer scholarship,https://fayette.psu.edu/scholarships,No meta date
161,161,102614,Pennsylvania State University-Penn State Fayette- Eberly,offer scholarship,https://fayette.psu.edu/tuition-and-financial-aid,No meta date
162,162,102614,Pennsylvania State University-Penn State Fayette- Eberly,offer scholarship,https://fayette.psu.edu/early-college-program,No meta date
163,163,102614,Pennsylvania State University-Penn State Fayette- Eberly,new scholarships,https://www.unigo.com/category/by-college/purdue-university-north-central-campus-scholarships/,No meta date
164,164,102614,Pennsylvania State University-Penn State Fayette- Eberly,expand financial aid,https://fayette.psu.edu/news?page=25&type=all,No meta date
165,165,102614,Pennsylvania State University-Penn State Fayette- Eberly,expand financial aid,https://fayette.psu.edu/news?page=30,No meta date
166,166,102632,Quinnipiac University,cut faculty,https://quchronicle.com/70336/news/quinnipiac-looking-to-cut-costs/,No meta date
167,167,102632,Quinnipiac University,cut faculty,https://www.newsbreak.com/connecticut/hamden/news/0oxkmwkm/quinnipiac-university-cutting-faculty-salaries-due-to-coronavirus,No meta date
168,168,102632,Quinnipiac University,cut faculty,https://www.qu.edu/today/the-cut.html,No meta date
169,169,102632,Quinnipiac University,cut faculty,https://academeblog.org/2014/06/08/faculty-cuts-at-quinnipiac/,['2014-06-08T21:02:39+00:00']
170,170,102632,Quinnipiac University,cut faculty,https://www.theday.com/article/20200330/nws12/200339975,['20200330081905']
171,171,102632,Quinnipiac University,cut faculty,https://www.newsbreak.com/news/coronavirus/0owpko98/covid-19-quinnipiac-university-cuts-faculty-staff-salaries,No meta date
172,172,102632,Quinnipiac University,reduction of benefits,https://parents.qu.edu/finances/form-1098-t.html,No meta date
173,173,102632,Quinnipiac University,reduction of benefits,https://poll.qu.edu/national/release-detail?releaseid=2504,No meta date
174,174,102632,Quinnipiac University,reduction of benefits,https://quchronicle.com/56529/news/dog-finals-benefits-students-by-reducing-stress-levels/,No meta date
175,175,102632,Quinnipiac University,reduction of benefits,https://www.tiaa.org/public/tcm/quinnipiac/retirement-benefits/plan1,No meta date
176,176,102632,Quinnipiac University,faculty cuts,https://www.forbes.com/sites/michaeltnietzel/2020/07/01/june-brought-more-layoffs-and-growing-faculty-pushback/,No meta date
177,177,102632,Quinnipiac University,faculty cuts,https://quchronicle.com/70035/opinion/letter-to-the-editor-17/,No meta date
178,178,102632,Quinnipiac University,salary reductions,https://q30tv.com/news/q30-newscast/covid-19-impacts-quinnipiac-faculty-and-staff-salaries/,['2020-03-25T06:34:02+00:00']
179,179,102632,Quinnipiac University,lower tuition,https://www.usnews.com/best-colleges/quinnipiac-university-1402/paying,No meta date
180,180,102632,Quinnipiac University,lower tuition,https://www.qu.edu/student-resources/health-campus-safety/coronavirus.html,No meta date
181,181,102632,Quinnipiac University,lower tuition,https://www.usnews.com/best-colleges/quinnipiac-university-1402,No meta date
182,182,102632,Quinnipiac University,lower tuition,https://parents.qu.edu/finances/tuition-fees.html,No meta date
183,183,102632,Quinnipiac University,lower tuition,https://www.newsbreak.com/news/0piratsa/quinnipiac-faces-covid-related-class-action-over-tuition-expenses,No meta date
184,184,102632,Quinnipiac University,lower tuition,https://www.prepscholar.com/sat/s/colleges/quinipiac-tuition-financial-aid,No meta date
185,185,102632,Quinnipiac University,lower tuition,https://www.courant.com/coronavirus/hc-news-coronavirus-quinnipiac-student-lawsuit-20200608-ub4zfxprj5ewtdgzi5bio3zoyi-story.html,No meta date
186,186,102632,Quinnipiac University,lower tuition,https://www.collegesimply.com/colleges/connecticut/quinnipiac-university/price/,No meta date
187,187,102632,Quinnipiac University,freeze tuition,https://www.qu.edu/tuition-and-financial-aid.html,No meta date
188,188,102632,Quinnipiac University,freeze tuition,https://parents.qu.edu/finances/accelerated-dual-degree-programs-financial-policy.html,No meta date
189,189,102632,Quinnipiac University,freeze tuition,https://careers.qu.edu/,No meta date
190,190,102632,Quinnipiac University,freeze tuition,https://www.wksu.org/news/story/43340,No meta date
191,191,102632,Quinnipiac University,freeze tuition,https://www.nytimes.com/2020/03/25/us/politics/colleges-universities-coronavirus.html,['6/18/2020 7:31:17 PM']
192,192,102632,Quinnipiac University,decrease tuition,https://www.classaction.org/news/quinnipiac-university-faces-class-action-seeking-tuition-fees-refunds-for-spring-2020-semester,No meta date
193,193,102632,Quinnipiac University,decrease tuition,https://www.newsbreak.com/news/0pib2hql/quinnipiac-sued-for-tuition-refund,No meta date
194,194,102632,Quinnipiac University,reduce tuition,http://www.courant.com/hc-xpm-2011-08-03-hc-business-schools-0802-20110803-story.html,No meta date
195,195,102632,Quinnipiac University,tenure,https://career.qu.edu/cw/en-us/listing/?jobnotfound=true,No meta date
196,196,102632,Quinnipiac University,tenure,https://www.collegefactual.com/colleges/quinnipiac-university/academic-life/faculty-composition/,['2013-02-20']
197,197,102632,Quinnipiac University,tenure,https://www.courant.com/community/hc-ugc-article-quinnipiac-university-grants-tenure-to-seven-2015-08-27-story.html,No meta date
198,198,102632,Quinnipiac University,tenure,https://www.higheredjobs.com/institution/search.cfm?university=quinnipiac%20university,No meta date
199,199,102632,Quinnipiac University,tenure,http://careers.pageuppeople.com/871/ci/en-us/job/493207/fulltime-tenuretrack-faculty-broadcast-journalism,No meta date
200,200,102632,Quinnipiac University,tenure,https://www.qu.edu/today/coronavirus-update-04282020.html,No meta date
